orf_id	ref dbname	EC	product	value
uppermesopelagic_500m_8603_0				
	EggNog_v3_2013_08_07		secY http://www.ncbi.nlm.nih.gov/protein/32475077 preprotein translocase subunit SecY forms heterotrimeric complex membrane bacteria consists SecY which channel pore SecE SecG SecG not essential translocation driven via SecA ATPase	24.0
	RefSeq_complete_nr_v62_dec2013		preprotein translocase subunit SecY [Rhodopirellula sp. SWK7]	7.0
	seed-2014-01-30		Preprotein translocase secY subunit (TC 3.A.5.1.1) [Kuenenia stuttgartiensis enrichment culture clone CH1]	12.0
	KEGG_pep_2013		protein translocase subunit SecY/sec61 alpha K03076 preprotein SecY	7.0

uppermesopelagic_500m_8602_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/134098987 universal stress protein	3.0
	RefSeq_complete_nr_v62_dec2013		universal stress protein [Saccharopolyspora spinosa]	4.0
	seed-2014-01-30		Universal stress protein family [Saccharothrix espanaensis DSM 44229]	7.0
	KEGG_pep_2013		UspA domain-containing protein	2.0

uppermesopelagic_500m_4606_0				
	EggNog_v3_2013_08_07		ThiI http://www.ncbi.nlm.nih.gov/protein/20808089 thiamine biosynthesis protein ThiI Required synthesis thiazole moiety	8.0
	RefSeq_complete_nr_v62_dec2013		thiazole biosynthesis/tRNA modification protein ThiI [Thermus oshimai]	6.0
	seed-2014-01-30		tRNA S(4)U 4-thiouridine synthase (former ThiI) [Eubacterium siraeum DSM 15702]	10.0
	KEGG_pep_2013		thiamine biosynthesis/tRNA modification protein ThiI K03151 biosynthesis ThiI	6.0

uppermesopelagic_500m_4606_1				
	EggNog_v3_2013_08_07	3.1.11.2	exoA http://www.ncbi.nlm.nih.gov/protein/18310156 exodeoxyribonuclease III similar to EXODEOXYRIBONUCLEASE (EC 3.1.11.2) from Bacillus subtilis (252 aa) 65.9% identity 249 aa overlap	29.0
	RefSeq_complete_nr_v62_dec2013		putative exodeoxyribonuclease III, partial [Fusobacterium sp. oral taxon 370]	9.0
	COG_2013-12-27		COG0708 # L Replication, recombination repair Function: Exonuclease III Organism: Helicobacter pylori J99 (jHp)	14.0
	seed-2014-01-30	3.1.11.2	Exodeoxyribonuclease III (EC 3.1.11.2) [Verrucomicrobia bacterium SCGC AAA164-L15]	18.0
	KEGG_pep_2013	4.2.99.18	apex1, MGC113976, apex1a, hm:zehn1532, wu:fc13d11, zgc:66204 APEX nuclease (multifunctional DNA repair enzyme) 1 (EC:4.2.99.18) K10771 AP endonuclease [EC:4.2.99.18]	28.0

uppermesopelagic_500m_8607_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/110833941 	1.0
	RefSeq_complete_nr_v62_dec2013		 [Alcanivorax sp. P2S70]	3.0
	seed-2014-01-30		 [Alcanivorax sp. W11-5]	3.0

uppermesopelagic_500m_3026_0				
	RefSeq_complete_nr_v62_dec2013		laminin G sub domain 2 [Planctomyces brasiliensis]	7.0
	seed-2014-01-30		Alkaline ceramidase domain protein [Zavarzinella formosa DSM 19928]	7.0
	KEGG_pep_2013		laminin G sub domain 2	5.0

uppermesopelagic_500m_3146_0				
	EggNog_v3_2013_08_07		PSEEN5297 http://www.ncbi.nlm.nih.gov/protein/104784203 glutamine synthetase Evidence 3 : Function proposed based presence conserved amino acid motif, structural feature or limited homology Product type e enzyme	23.0
	RefSeq_complete_nr_v62_dec2013		glutamine synthetase [Pseudomonas sp. Chol1]	5.0
	COG_2013-12-27		COG0174 # E Amino acid transport metabolism Function: Glutamine synthetase Organism: Pseudomonas aeruginosa (Pae)	14.0
	seed-2014-01-30		glutamine synthetase family protein [Pseudomonas syringae pv. actinidiae str. NCPPB 3739]	10.0
	KEGG_pep_2013	6.3.1.2	putative glutamine synthetase, catalytic region K01915 synthetase [EC:6.3.1.2]	18.0

uppermesopelagic_500m_3141_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/152985560 putative acyl-CoA dehydrogenase Annotation generated automatically transferring annotation from manually curated GenBank accession AE004091 identified match to protein family HMM PF00441 PF02770 PF02771 PF08028	24.0
	RefSeq_complete_nr_v62_dec2013		acyl-CoA dehydrogenase [Pseudomonas sp. Chol1]	5.0
	COG_2013-12-27		COG1960 # I Lipid transport metabolism Function: Acyl-CoA dehydrogenases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	16.0
	seed-2014-01-30	1.3.99.2	Butyryl-CoA dehydrogenase (EC 1.3.99.2) [Pseudomonas mendocina NK-01]	17.0
	KEGG_pep_2013		acdA putative acyl-CoA dehydrogenase K00257 [EC:1.3.99.-]	6.0

uppermesopelagic_500m_3142_0				
	EggNog_v3_2013_08_07		acs http://www.ncbi.nlm.nih.gov/protein/240139111 acetyl-CoA synthetase Evidence 2a : Function homologous gene experimentally demonstrated other organism PubMedId 12878029, 14515321, 7751300 Product type e enzyme	22.0
	RefSeq_complete_nr_v62_dec2013		Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase [Magnetospirillum sp. SO-1]	8.0
	COG_2013-12-27		COG0365 # I Lipid transport metabolism Function: Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	19.0
	seed-2014-01-30	6.2.1.1	Acetyl-coenzyme A synthetase (EC 6.2.1.1) [Rhizobium etli CIAT 894]	19.0
	metacyc-v5-2011-10-21	6.2.1.1	Acetyl-coenzyme A synthetase 1 OS Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN ACS1 PE SV 2 # UNIPROT Q01574 ACETATE--COA-LIGASE-RXN 6.2.1.1	32.0
	KEGG_pep_2013	6.2.1.1	ACS2 acetyl CoA synthetase (EC:6.2.1.1) K01895 acetyl-CoA [EC:6.2.1.1]	18.0

uppermesopelagic_500m_3142_1				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/192288466 nuclease (SNase domain protein) PFAM: KEGG: staphylococcus (SNase-like)	9.0
	RefSeq_complete_nr_v62_dec2013		nuclease [Ahrensia sp. R2A130]	4.0
	seed-2014-01-30		InterPro IPR006021 COGs COG1525 [Rhodopseudomonas palustris CGA009]	7.0
	KEGG_pep_2013		nuclease (SNase domain protein)	4.0

uppermesopelagic_500m_4037_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/24373318  identified match to PFAM protein family HMM PF03806	8.0
	RefSeq_complete_nr_v62_dec2013		ABC-type transport system involved multi-copper enzyme maturation, permease component [Cesiribacter andamanensis]	11.0
	seed-2014-01-30		membrane protein, putative [Janthinobacterium sp. PAMC 25724]	7.0

uppermesopelagic_500m_4030_0				
	EggNog_v3_2013_08_07		Q6C2M8 http://www.uniprot.org/uniprot/Q6C2M8 YALI0F06534p	3.0
	RefSeq_complete_nr_v62_dec2013		DNA/RNA helicase, superfamily II [Bradyrhizobium sp. WSM471]	7.0
