orf_id	ref dbname	EC	product	value
deepabyss_4000m_8348_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/158317178 bile acid:sodium symporter PFAM: Bile KEGG: fal:FRAAL5305 putative arsenite efflux pump or related permease	15.0
	RefSeq_complete_nr_v62_dec2013		arsenite efflux pump ACR3-like permease [Saccharomonospora cyanea]	7.0
	seed-2014-01-30		Arsenical-resistance protein ACR3 [Halomonas sp. GFAJ-1]	5.0
	KEGG_pep_2013		Bile acid:sodium symporter	3.0

deepabyss_4000m_8349_0				
	RefSeq_complete_nr_v62_dec2013		 [Bacteria]	1.0

deepabyss_4000m_8346_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/218665275 cation efflux permease, putative identified match to protein family HMM PF01545	11.0
	RefSeq_complete_nr_v62_dec2013		Co/Zn/Cd efflux system component [Xenococcus sp. PCC 7305]	8.0
	seed-2014-01-30		Cobalt-zinc-cadmium resistance protein CzcD [Xenococcus sp. PCC 7305]	7.0
	KEGG_pep_2013		cation efflux protein/ zinc transporter, putative	6.0

deepabyss_4000m_8344_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/108804015 binding-protein-dependent transport systems inner membrane component PFAM: KEGG: ana:alr1383 ferric iron system permease protein	14.0
	RefSeq_complete_nr_v62_dec2013		binding-protein-dependent transporters inner membrane component [Halorubrum lipolyticum]	7.0
	seed-2014-01-30		Ferric iron ABC transporter, permease protein [Chloroflexus aggregans DSM 9485]	9.0
	KEGG_pep_2013		binding-protein-dependent transport systems inner membrane component K02011 iron(III) system permease protein	10.0

deepabyss_4000m_8342_0				
	EggNog_v3_2013_08_07		dinG http://www.ncbi.nlm.nih.gov/protein/167035283 ATP-dependent DNA helicase DinG involved repair perhaps also replication	11.0
	RefSeq_complete_nr_v62_dec2013		ATP-dependent DNA helicase DinG [Pseudomonas sp. HYS]	7.0
	COG_2013-12-27		COG1199 # KL Function: Rad3-related DNA helicases Organism: Pseudomonas aeruginosa (Pae)	11.0
	seed-2014-01-30		ATP-dependent helicase DinG/Rad3 [Pseudomonas syringae pv. actinidiae str. NCPPB 3739]	10.0
	KEGG_pep_2013	3.6.4.12	dinG ATP-dependent DNA helicase DinG K03722 DinG [EC:3.6.4.12]	17.0

deepabyss_4000m_8343_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/152985114 glutamine synthetase Annotation generated automatically transferring annotation from manually curated GenBank accession AE004091 identified match to protein family HMM PF00120	20.0
	RefSeq_complete_nr_v62_dec2013		Glutamine synthetase/guanido kinase, catalytic domain [Halomonas titanicae]	7.0
	COG_2013-12-27		COG0174 # E Amino acid transport metabolism Function: Glutamine synthetase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	16.0
	seed-2014-01-30	6.3.1.11	Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11) [Enterobacter aerogenes KCTC 2190]	18.0
	metacyc-v5-2011-10-21	6.3.1.11	Gamma-glutamylputrescine synthetase OS Escherichia coli (strain K12) GN puuA PE 3 SV 2 # UNIPROT P78061 RXN0-3901 MetaCyc:G6644-MONOMER 6.3.1.11	29.0
	KEGG_pep_2013	6.3.1.11	glutamate--putrescine ligase (EC:6.3.1.11) K01915 glutamine synthetase [EC:6.3.1.2]	17.0

deepabyss_4000m_8340_0				
	EggNog_v3_2013_08_07		http://www.ncbi.nlm.nih.gov/protein/84622915 ABC transporter ATP-binding protein identified sequence similarity putative ORF located using Blastx/Glimmer/GeneHacker	12.0
	RefSeq_complete_nr_v62_dec2013		Glutathione-regulated potassium-efflux system ATP-binding protein [Stenotrophomonas maltophilia]	6.0
	COG_2013-12-27		COG0488 # R General function prediction only Function: ATPase components ABC transporters duplicated domains Organism: Escherichia coli O157:H7 (Ecs)	19.0
	seed-2014-01-30		Glutathione-regulated potassium-efflux system ATP-binding protein [endosymbiont Tevnia jerichonana (vent Tica)]	9.0
	KEGG_pep_2013		ATP-binding component metal import ABC transporter K06158 cassette, sub-family F, member 3	12.0

deepabyss_4000m_9414_0				
