ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
deepabyss_4000m_8348_0	830	9	839	deepabyss_4000m_8348	921	-		Alteromonas sp. S89	Bile acid:sodium symporter
deepabyss_4000m_8349_0	218	1	219	deepabyss_4000m_8349	383	-		all	
deepabyss_4000m_8346_0	530	2	532	deepabyss_4000m_8346	534	+		Bacteria	cation efflux protein/ zinc transporter, putative
deepabyss_4000m_8347_0	608	32	640	deepabyss_4000m_8347	809	-		all	hypothetical protein
deepabyss_4000m_8347_1	167	640	807	deepabyss_4000m_8347	809	-		all	hypothetical protein
deepabyss_4000m_8344_0	629	54	683	deepabyss_4000m_8344	933	-		Rubrobacter xylanophilus DSM 9941	binding-protein-dependent transport systems inner membrane component K02011 iron(III) system permease protein
deepabyss_4000m_8344_1	140	791	931	deepabyss_4000m_8344	933	-		all	hypothetical protein
deepabyss_4000m_8345_0	401	3	404	deepabyss_4000m_8345	405	-		all	hypothetical protein
deepabyss_4000m_8342_0	551	1	552	deepabyss_4000m_8342	554	+	3.6.4.12	"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	dinG ATP-dependent DNA helicase DinG K03722 DinG
deepabyss_4000m_8343_0	734	1	735	deepabyss_4000m_8343	985	-	6.3.1.11	Gammaproteobacteria	glutamate--putrescine ligase (EC:6.3.1.11) K01915 glutamine synthetase
deepabyss_4000m_8343_1	203	781	984	deepabyss_4000m_8343	985	-		all	hypothetical protein
deepabyss_4000m_8340_0	359	1	360	deepabyss_4000m_8340	360	+		Pseudoxanthomonas spadix BD-a59	ATP-binding component metal import ABC transporter K06158 cassette, sub-family F, member 3
deepabyss_4000m_8341_0	566	47	613	deepabyss_4000m_8341	613	-		all	hypothetical protein
deepabyss_4000m_9414_0	548	1	549	deepabyss_4000m_9414	946	-		"Dehalococcoides ethenogenes" Maymo-Gatell et al. 1997	translation elongation factor EFTs/EF1B dimerization K02357 Ts
deepabyss_4000m_9414_1	368	578	946	deepabyss_4000m_9414	946	-		all	hypothetical protein
deepabyss_4000m_789_0	347	450	797	deepabyss_4000m_789	879	-	5.3.1.22	unclassified Verrucomicrobia (miscellaneous)	xylose isomerase domain-containing protein TIM barrel K01816 hydroxypyruvate
deepabyss_4000m_788_0	905	1	906	deepabyss_4000m_788	907	+	1.5.3.1	Bacteria	Sarcosine oxidase alpha subunit (EC 1.5.3.1)
deepabyss_4000m_783_0	809	1	810	deepabyss_4000m_783	893	-		all	, partial
deepabyss_4000m_782_0	125	3	128	deepabyss_4000m_782	902	+		all	hypothetical protein
deepabyss_4000m_782_1	776	125	901	deepabyss_4000m_782	902	+		Oceanibaculum indicum P24	ABC transporter
deepabyss_4000m_781_0	740	2	742	deepabyss_4000m_781	871	+		all	
deepabyss_4000m_780_0	629	1	630	deepabyss_4000m_780	865	+		all	hypothetical protein
deepabyss_4000m_780_1	221	631	852	deepabyss_4000m_780	865	-		all	hypothetical protein
deepabyss_4000m_787_0	635	140	775	deepabyss_4000m_787	776	+		all	hypothetical protein
deepabyss_4000m_786_0	887	3	890	deepabyss_4000m_786	892	-	6.4.1.3	Bacteria	PCCB, MGC134255 propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3) K01966 propionyl-CoA carboxylase chain
deepabyss_4000m_785_0	668	201	869	deepabyss_4000m_785	869	-	6.1.1.3	"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	threonine--tRNA ligase, chloroplast or mitochondrial K01868 threonyl-tRNA synthetase
deepabyss_4000m_784_0	605	1	606	deepabyss_4000m_784	980	+		Bacteria	MscS mechanosensitive ion channel
deepabyss_4000m_784_1	218	615	833	deepabyss_4000m_784	980	+		Bacteria	COG2363
deepabyss_4000m_9417_0	338	37	375	deepabyss_4000m_9417	822	-	3.1.26.4	Phaeobacter gallaeciensis ANG1	rnhB ribonuclease HII (EC:3.1.26.4) K03470
deepabyss_4000m_9417_1	341	480	821	deepabyss_4000m_9417	822	-		Ruegeria sp. TM1040	FIG01073044:
deepabyss_4000m_4140_0	836	7	843	deepabyss_4000m_4140	912	+	3.2.1.10	Bacteria	ISA3 isoamylase, starch debranching enzyme (EC:3.2.1.- 3.2.1.10 3.2.1.68) K02438 glycogen operon protein GlgX
deepabyss_4000m_4141_0	257	2	259	deepabyss_4000m_4141	931	+		all	hypothetical protein
deepabyss_4000m_4141_1	611	253	864	deepabyss_4000m_4141	931	+		all	hypothetical protein
deepabyss_4000m_4142_0	566	2	568	deepabyss_4000m_4142	949	-	3.6.1.19	'Paenibacillaceae'	mazG nucleoside triphosphate pyrophosphohydrolase (EC:3.6.1.19) K02428 nucleoside-triphosphate pyrophosphatase
deepabyss_4000m_4142_1	236	713	949	deepabyss_4000m_4142	949	+		all	hypothetical protein
deepabyss_4000m_4143_0	341	93	434	deepabyss_4000m_4143	979	-		all	hypothetical protein
deepabyss_4000m_4143_1	344	547	891	deepabyss_4000m_4143	979	+		unclassified Deltaproteobacteria	
deepabyss_4000m_4412_0	116	3	119	deepabyss_4000m_4412	972	-		all	hypothetical protein
deepabyss_4000m_4412_1	272	178	450	deepabyss_4000m_4412	972	-		all	hypothetical protein
deepabyss_4000m_4412_2	305	667	972	deepabyss_4000m_4412	972	-		all	hypothetical protein
deepabyss_4000m_4413_0	644	85	729	deepabyss_4000m_4413	951	-		Alteromonadaceae group	TonB-dependent siderophore receptor
deepabyss_4000m_4146_0	929	3	932	deepabyss_4000m_4146	952	+	1.7.7.1	Hyphomicrobiales	nirA ferredoxin-nitrite reductase (EC:1.7.7.1) K00366
deepabyss_4000m_4147_0	674	3	677	deepabyss_4000m_4147	982	-		all	hypothetical protein
deepabyss_4000m_4147_1	299	683	982	deepabyss_4000m_4147	982	-		all	hypothetical protein
deepabyss_4000m_4148_0	287	2	289	deepabyss_4000m_4148	952	+		Pseudomonas stutzeri SDM-LAC	FIG085779: Lipoprotein
deepabyss_4000m_4148_1	665	286	951	deepabyss_4000m_4148	952	+	2.3.1.41	"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	3-oxoacyl-(acyl carrier protein) synthase I (EC:2.3.1.41) K00647 3-oxoacyl-
deepabyss_4000m_4149_0	248	283	531	deepabyss_4000m_4149	533	+		all	hypothetical protein
deepabyss_4000m_4418_0	488	336	824	deepabyss_4000m_4418	937	+		all	
deepabyss_4000m_4419_0	266	1	267	deepabyss_4000m_4419	725	-	3.1.11.6	"Chlorobacterium" Guillebeau 1890, nom. rejic. Opin. 6 (not "Chlorobacterium" Lauterborn 1916)	xseB exodeoxyribonuclease VII small subunit (EC:3.1.11.6) K03602
deepabyss_4000m_4419_1	185	404	589	deepabyss_4000m_4419	725	+		all	
deepabyss_4000m_4419_2	137	586	723	deepabyss_4000m_4419	725	-		all	hypothetical protein
deepabyss_4000m_10722_0	992	1	993	deepabyss_4000m_10722	1024	+		all	hypothetical protein
deepabyss_4000m_10723_0	626	3	629	deepabyss_4000m_10723	775	-	1.18.1.2	Bacteria	NADPH:adrenodoxin oxidoreductase, mitochondrial precursor, putative (EC:1.18.1.2) K00528 ferredoxin--NADP+ reductase
deepabyss_4000m_10723_1	116	657	773	deepabyss_4000m_10723	775	-		all	hypothetical protein
deepabyss_4000m_9439_0	203	2	205	deepabyss_4000m_9439	206	+		all	hypothetical protein
deepabyss_4000m_9438_0	668	192	860	deepabyss_4000m_9438	985	-	2.5.1.54	Bacteria	phospho-2-dehydro-3-deoxyheptonate aldolase K03856 3-deoxy-7-phosphoheptulonate synthase
deepabyss_4000m_9437_0	152	1	153	deepabyss_4000m_9437	368	-		all	hypothetical protein
deepabyss_4000m_9437_1	197	170	367	deepabyss_4000m_9437	368	+		all	hypothetical protein
