orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
deepabyss_4000m_8348_0					http://www.ncbi.nlm.nih.gov/protein/158317178 bile acid:sodium symporter PFAM: Bile KEGG: fal:FRAAL5305 putative arsenite efflux pump or related permease	15.0		arsenite efflux pump ACR3-like permease [Saccharomonospora cyanea]	7.0					Arsenical-resistance protein ACR3 [Halomonas sp. GFAJ-1]	5.0					Bile acid:sodium symporter	3.0
deepabyss_4000m_8349_0								 [Bacteria]	1.0												
deepabyss_4000m_8346_0					http://www.ncbi.nlm.nih.gov/protein/218665275 cation efflux permease, putative identified match to protein family HMM PF01545	11.0		Co/Zn/Cd efflux system component [Xenococcus sp. PCC 7305]	8.0					Cobalt-zinc-cadmium resistance protein CzcD [Xenococcus sp. PCC 7305]	7.0					cation efflux protein/ zinc transporter, putative	6.0
deepabyss_4000m_8344_0					http://www.ncbi.nlm.nih.gov/protein/108804015 binding-protein-dependent transport systems inner membrane component PFAM: KEGG: ana:alr1383 ferric iron system permease protein	14.0		binding-protein-dependent transporters inner membrane component [Halorubrum lipolyticum]	7.0					Ferric iron ABC transporter, permease protein [Chloroflexus aggregans DSM 9485]	9.0					binding-protein-dependent transport systems inner membrane component K02011 iron(III) system permease protein	10.0
deepabyss_4000m_8342_0					dinG http://www.ncbi.nlm.nih.gov/protein/167035283 ATP-dependent DNA helicase DinG involved repair perhaps also replication	11.0		ATP-dependent DNA helicase DinG [Pseudomonas sp. HYS]	7.0		COG1199 # KL Function: Rad3-related DNA helicases Organism: Pseudomonas aeruginosa (Pae)	11.0		ATP-dependent helicase DinG/Rad3 [Pseudomonas syringae pv. actinidiae str. NCPPB 3739]	10.0				3.6.4.12	dinG ATP-dependent DNA helicase DinG K03722 DinG [EC:3.6.4.12]	17.0
deepabyss_4000m_8343_0					http://www.ncbi.nlm.nih.gov/protein/152985114 glutamine synthetase Annotation generated automatically transferring annotation from manually curated GenBank accession AE004091 identified match to protein family HMM PF00120	20.0		Glutamine synthetase/guanido kinase, catalytic domain [Halomonas titanicae]	7.0		COG0174 # E Amino acid transport metabolism Function: Glutamine synthetase Organism: Escherichia coli O157:H7 EDL933 (EcZ)	16.0	6.3.1.11	Gamma-glutamyl-putrescine synthetase (EC 6.3.1.11) [Enterobacter aerogenes KCTC 2190]	18.0	6.3.1.11	Gamma-glutamylputrescine synthetase OS Escherichia coli (strain K12) GN puuA PE 3 SV 2 # UNIPROT P78061 RXN0-3901 MetaCyc:G6644-MONOMER 6.3.1.11	29.0	6.3.1.11	glutamate--putrescine ligase (EC:6.3.1.11) K01915 glutamine synthetase [EC:6.3.1.2]	17.0
deepabyss_4000m_8340_0					http://www.ncbi.nlm.nih.gov/protein/84622915 ABC transporter ATP-binding protein identified sequence similarity putative ORF located using Blastx/Glimmer/GeneHacker	12.0		Glutathione-regulated potassium-efflux system ATP-binding protein [Stenotrophomonas maltophilia]	6.0		COG0488 # R General function prediction only Function: ATPase components ABC transporters duplicated domains Organism: Escherichia coli O157:H7 (Ecs)	19.0		Glutathione-regulated potassium-efflux system ATP-binding protein [endosymbiont Tevnia jerichonana (vent Tica)]	9.0					ATP-binding component metal import ABC transporter K06158 cassette, sub-family F, member 3	12.0
deepabyss_4000m_9414_0					tsf http://www.ncbi.nlm.nih.gov/protein/73748221 elongation factor Ts EF-Ts functions during stage protein translation forms dimer associates EF-Tu-GDP complex promotes exchange GDP to GTP resulting regeneration active form EF-Tu	25.0		elongation factor Ts [Chloroflexus sp. Y-400-fl]	6.0					Translation elongation factor Ts [Dehalococcoides sp. BAV1]	7.0					translation elongation factor EFTs/EF1B dimerization K02357 Ts	7.0
deepabyss_4000m_789_0					RB5637 http://www.ncbi.nlm.nih.gov/protein/32473816 putative sugar phosphate isomerase/epimerase best DB hits: BLAST: pir:A83457 conserved  PA1501 [imported] - E 1e-11 gb:AAG59852.1 (AF284750) HT036-ISO [Homo sapiens] 9e-10 swissprot:P36951 TRANSIENT RECEPTOR POTENTIAL LOCUS C 2e-09 COG: PA1501 COG1082 Predicted endonucleases 1e-12	34.0		Xylose isomerase domain protein TIM barrel [Rhodopirellula baltica]	7.0				5.3.1.22	Hydroxypyruvate isomerase (EC 5.3.1.22) [Alteromonas macleodii str. 'English Channel 673']	20.0				5.3.1.22	xylose isomerase domain-containing protein TIM barrel K01816 hydroxypyruvate [EC:5.3.1.22]	18.0
deepabyss_4000m_788_0					http://www.ncbi.nlm.nih.gov/protein/148260003 sarcosine oxidase alpha subunit family protein TIGRFAM: oxidase, family PFAM: glucose-inhibited division protein A glycine cleavage T (aminomethyl transferase) Glycine T-protein, C-terminal barrel	21.0		sarcosine oxidase subunit alpha [Nitratireductor indicus]	6.0				1.5.3.1	Sarcosine oxidase alpha subunit (EC 1.5.3.1) [alpha proteobacterium HIMB5]	19.0						
deepabyss_4000m_783_0								, partial [Bacteria]	3.0												
deepabyss_4000m_782_1					http://www.ncbi.nlm.nih.gov/protein/158424094 ABC transporter	3.0		nitrate ABC transporter permease [Azorhizobium caulinodans]	6.0					ABC nitrate/sulfonate/bicarbonate family transporter, inner membrane subunit [Oceanibaculum indicum P24]	10.0					ABC transporter	2.0
deepabyss_4000m_781_0								 [SAR202 cluster bacterium SCGC AAA240-N13]	5.0												
deepabyss_4000m_786_0					pccB http://www.ncbi.nlm.nih.gov/protein/108759197 propionyl-CoA carboxylase, beta subunit identified similarity to PIR:T43828 match protein family HMM PF01039	14.0		Acetyl-coenzyme A carboxyl transferase alpha chain [Fulvivirga imtechensis]	8.0		COG4799 # I Lipid transport metabolism Function: Acetyl-CoA carboxylase, carboxyltransferase component (subunits alpha beta) Organism: Agrobacterium tumefaciens strain C58 (Cereon) (Atu)	21.0	6.4.1.3	Propionyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.3) [Comamonas testosteroni ATCC 11996]	21.0	6.4.1.3	Probable propionyl-CoA carboxylase beta chain 5 OS Mycobacterium leprae GN accD5 PE 3 SV 1 # UNIPROT P53002 PROPIONYL-COA-CARBOXY-RXN MLEP272631:ML0731-MONOMER 6.4.1.3	31.0	6.4.1.3	PCCB, MGC134255 propionyl CoA carboxylase, beta polypeptide (EC:6.4.1.3) K01966 propionyl-CoA carboxylase chain [EC:6.4.1.3]	23.0
