orf_id	CAZy_2013-07-13(EC) 	CAZy_2013-07-13(product)	CAZy_2013-07-13(value)	EggNog_v3_2013_08_07(EC) 	EggNog_v3_2013_08_07(product)	EggNog_v3_2013_08_07(value)	RefSeq_complete_nr_v62_dec2013(EC) 	RefSeq_complete_nr_v62_dec2013(product)	RefSeq_complete_nr_v62_dec2013(value)	COG_2013-12-27(EC) 	COG_2013-12-27(product)	COG_2013-12-27(value)	seed-2014-01-30(EC) 	seed-2014-01-30(product)	seed-2014-01-30(value)	metacyc-v5-2011-10-21(EC) 	metacyc-v5-2011-10-21(product)	metacyc-v5-2011-10-21(value)	KEGG_pep_2013(EC) 	KEGG_pep_2013(product)	KEGG_pep_2013(value)
chlorophyllmax_130m_559_0					DIP2133 http://www.ncbi.nlm.nih.gov/protein/38234682  Similar to many eg. Mycobacterium tuberculosis 95.5 kDa protein Rv0338c or MT0352 MTCY279.05C TR:O33268 (EMBL:Z97991) (882 aa) fasta scores: E(): 2.4e-55, 43.1% id 877 aa. N-terminal region appears be possible membrane-spanning hydrophobic regions while C-terminal rich proline alanine.	39.0		putative respiratory nitrate reductase, gamma subunit [Desulfitobacterium hafniense]	8.0		COG0247 # C Energy production conversion Function: Fe-S oxidoreductase Organism: Deinococcus radiodurans (Dra)	13.0		Fe-S oxidoreductase [Corallococcus coralloides DSM 2259]	6.0					protein unknown function DUF224 cysteine-rich region domain	6.0
chlorophyllmax_130m_554_0					http://www.ncbi.nlm.nih.gov/protein/120601739 adenosylmethionine-8-amino-7-oxononanoate aminotransferase TIGRFAM: PFAM: aminotransferase class-III KEGG: dvu:DVU2559 adenosylmethionine--8-amino-7-oxononanoate	9.0		adenosylmethionine-8-amino-7-oxononanoate transaminase [Veillonella atypica]	4.0		COG0161 # H Coenzyme transport metabolism Function: Adenosylmethionine-8-amino-7-oxononanoate aminotransferase Organism: Staphylococcus aureus N315 (Sau)	14.0	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) [Acetonema longum DSM 6540]	18.0	2.6.1.62	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase OS Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 JAL-1 JCM 10045 NBRC 100440) GN bioA PE 3 SV 2 # UNIPROT Q58696 DAPASYN-RXN 2.6.1.62	37.0	2.6.1.62	bioA adenosylmethionine-8-amino-7-oxononanoate transaminase (EC:2.6.1.62) K00833 aminotransferase [EC:2.6.1.62]	17.0
chlorophyllmax_130m_5060_0		glycosyl transferase family 2 [Aciduliprofundum boonei T469] (GT:2)	8.0					glycosyl transferase family 2 [Aciduliprofundum boonei]	6.0											glycosyl transferase family 2	4.0
chlorophyllmax_130m_5061_0					ccmC http://www.ncbi.nlm.nih.gov/protein/88657668 heme exporter protein CcmC identified similarity to SP:P33929 match family HMM PF01578 TIGR01191	14.0		Cytochrome c-type biogenesis protein CcmC, putative heme lyase CcmE [Caenispirillum salinarum]	10.0					Cytochrome c-type biogenesis protein CcmC, putative heme lyase CcmE [Wolbachia sp. endosymbiont Drosophila melanogaster]	13.0					ABC-type transport system involved cytochrome c biogenesis, permease component K02195 heme exporter protein C	13.0
chlorophyllmax_130m_5064_0					http://www.ncbi.nlm.nih.gov/protein/221632597 Protein unknown function (DUF1116) superfamily identified match to protein family HMM PF06545	12.0		membrane protein [Lactobacillus buchneri]	3.0		NULL # C Energy production conversion Function: Succinyl-CoA synthetase, alpha subunit Organism: Escherichia coli O157:H7 (Ecs)	16.0		Putative cytoplasmic protein [Acetonema longum DSM 6540]	6.0			
chlorophyllmax_130m_5064_1								, partial [Paenibacillus sp. Aloe-11]	5.0					Protein fdrA [Paenibacillus alvei DSM 29]	6.0					fdrA putative FdrA	3.0
chlorophyllmax_130m_5065_0								putative enoyl-CoA isomerase [Ilumatobacter coccineus]	5.0												
chlorophyllmax_130m_2874_0					http://www.ncbi.nlm.nih.gov/protein/196155819 RND family efflux transporter COG0841, AcrB, Cation/multidrug pump [Defense mechanisms]	11.0		cation/multidrug efflux pump, Acr family [Desulfotignum phosphitoxidans]	7.0					Acriflavin resistance protein [Alteromonas macleodii str. 'English Channel 673']	8.0					RND family efflux transporter	4.0
chlorophyllmax_130m_1526_0					rnhB http://www.ncbi.nlm.nih.gov/protein/58584899 ribonuclease HII RNH2 RNase binds manganese endonuclease which specifically degrades RNA RNA-DNA hybrids	15.0		ribonuclease HII [Clostridiales bacterium OBRC5-5]	5.0		COG0164 # L Replication, recombination repair Function: Ribonuclease HII Organism: Streptococcus pyogenes M1 GAS (Spy)	15.0	3.1.26.4	Ribonuclease HII (EC 3.1.26.4) [Lactobacillus delbrueckii subsp. bulgaricus CNCM I-1519]	20.0				3.1.26.4	rnhB ribonuclease HII (EC:3.1.26.4) K03470 [EC:3.1.26.4]	16.0
chlorophyllmax_130m_1529_0					http://www.ncbi.nlm.nih.gov/protein/161528546  PFAM: protein unknown function DUF47 KEGG: DUF47	6.0		phosphate transport regulator [Marine Group I thaumarchaeote SCGC AB-629-I23]	9.0					Phosphate transport regulator (distant homolog PhoU) [Nitrosopumilus maritimus SCM1]	9.0					coiled coil protein K07220 	3.0
