ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
upper_euphotic_10m_1772_0	455	63	518	upper_euphotic_10m_1772	576	+		all	
upper_euphotic_10m_4305_0	638	3	641	upper_euphotic_10m_4305	983	+	4.2.1.17	Cupriavidus basilensis	Enoyl-CoA hydratase (EC 4.2.1.17)
upper_euphotic_10m_4305_1	323	658	981	upper_euphotic_10m_4305	983	-		all	hypothetical protein
upper_euphotic_10m_1770_0	413	1	414	upper_euphotic_10m_1770	858	+		all	, partial
upper_euphotic_10m_1770_1	476	353	829	upper_euphotic_10m_1770	858	+	3.5.2.9	Bacteria	5-oxoprolinase (EC:3.5.2.9) K01473 N-methylhydantoinase A
upper_euphotic_10m_1771_0	167	992	1159	upper_euphotic_10m_1771	1161	-		all	hypothetical protein
upper_euphotic_10m_1776_0	590	3	593	upper_euphotic_10m_1776	887	-		all	hypothetical protein
upper_euphotic_10m_1777_0	269	1	270	upper_euphotic_10m_1777	671	+		all	hypothetical protein
upper_euphotic_10m_1777_1	245	306	551	upper_euphotic_10m_1777	671	-	5.3.1.22	Schlesneria paludicola DSM 18645	Xylose isomerase domain-containing protein TIM barrel K01816 hydroxypyruvate
upper_euphotic_10m_1774_0	821	31	852	upper_euphotic_10m_1774	852	+		ATCC BAA-1392	GTPase (EC:3.6.1.-)
upper_euphotic_10m_1775_0	1136	2	1138	upper_euphotic_10m_1775	1139	-		all	hypothetical protein
upper_euphotic_10m_1778_0	461	2	463	upper_euphotic_10m_1778	464	-		all	hypothetical protein
upper_euphotic_10m_1779_0	152	88	240	upper_euphotic_10m_1779	736	+		all	hypothetical protein
upper_euphotic_10m_4308_0	365	1	366	upper_euphotic_10m_4308	963	+		all	hypothetical protein
upper_euphotic_10m_4309_0	668	127	795	upper_euphotic_10m_4309	796	-		all	hypothetical protein
upper_euphotic_10m_7510_0	887	64	951	upper_euphotic_10m_7510	1015	+		all	hypothetical protein
upper_euphotic_10m_7511_0	269	3	272	upper_euphotic_10m_7511	956	-		all	hypothetical protein
upper_euphotic_10m_7512_0	245	115	360	upper_euphotic_10m_7512	963	+		"Alphabacteria" Cavalier-Smith 1992	4Fe-4S ferredoxin, iron-sulfur binding protein (EC:1.-.-.-) K05524 ferredoxin
