ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
omz_770m_9884_0	413	197	610	omz_770m_9884	931	+		Cyanobacteria	30S ribosomal protein S5, putative K02988 small subunit S5
omz_770m_9884_1	191	607	798	omz_770m_9884	931	+		all	50S ribosomal protein L15
omz_770m_9883_0	578	1	579	omz_770m_9883	960	+		all	hypothetical protein
omz_770m_9883_1	425	534	959	omz_770m_9883	960	-		all	hypothetical protein
omz_770m_9882_0	425	18	443	omz_770m_9882	964	+		all	
omz_770m_2158_0	74	3	77	omz_770m_2158	948	+		all	hypothetical protein
omz_770m_2158_1	779	118	897	omz_770m_2158	948	+	2.3.1.31	Bacteria	homoserine O-acetyltransferase (EC:2.3.1.31) K00641
omz_770m_2159_0	440	119	559	omz_770m_2159	1001	-		all	hypothetical protein
omz_770m_9881_0	626	27	653	omz_770m_9881	969	-	5.99.1.2	"Alphabacteria" Cavalier-Smith 1992	DNA topoisomerase IV subunit B (EC:5.99.1.2) K02622
omz_770m_2150_0	872	2	874	omz_770m_2150	925	+		all	hypothetical protein
omz_770m_2151_0	338	3	341	omz_770m_2151	973	+		all	hypothetical protein
omz_770m_2151_1	488	484	972	omz_770m_2151	973	+		Desulfotalea psychrophila LSv54	Conserved  22
omz_770m_2152_0	569	19	588	omz_770m_2152	994	+	6.2.1.30	Bacteria	coenzyme F390 synthetase II K01912 phenylacetate-CoA ligase
omz_770m_2152_1	299	615	914	omz_770m_2152	994	+		all	
omz_770m_2153_0	722	1	723	omz_770m_2153	991	-	2.7.7.4	Gammaproteobacteria	sopT sulfate adenylyltransferase (EC:2.7.7.4) K00958
omz_770m_2154_0	761	1	762	omz_770m_2154	929	-		all	hypothetical protein
omz_770m_2155_0	593	200	793	omz_770m_2155	936	+	2.8.3.5	Bacteria	oxct1, MGC69180 3-oxoacid CoA transferase 1 (EC:2.8.3.5) K01027 CoA-transferase
omz_770m_2155_1	131	804	935	omz_770m_2155	936	+		all	hypothetical protein
omz_770m_2156_0	125	1	126	omz_770m_2156	947	-		all	hypothetical protein
omz_770m_2156_1	317	629	946	omz_770m_2156	947	+	2.1.1.14	SAR324 cluster	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)
omz_770m_2157_0	641	3	644	omz_770m_2157	988	+	6.2.1.3	Bradyrhizobium japonicum USDA 6	fatty-acid--CoA ligase (EC:6.2.1.3) K01897 long-chain acyl-CoA synthetase
omz_770m_2157_1	191	701	892	omz_770m_2157	988	+		all	hypothetical protein
omz_770m_2157_2	122	864	986	omz_770m_2157	988	+		all	hypothetical protein
omz_770m_5465_0	155	3	158	omz_770m_5465	910	-		all	hypothetical protein
omz_770m_5465_1	512	257	769	omz_770m_5465	910	-	4.99.1.1	Alteromonadaceae	ferrochelatase (EC:4.99.1.1) K01772
omz_770m_5464_0	173	2	175	omz_770m_5464	343	+		all	hypothetical protein
omz_770m_5467_0	137	176	313	omz_770m_5467	981	-		all	hypothetical protein
omz_770m_5467_1	125	362	487	omz_770m_5467	981	-		all	hypothetical protein
omz_770m_5467_2	161	820	981	omz_770m_5467	981	-		all	hypothetical protein
omz_770m_5466_0	722	208	930	omz_770m_5466	932	+		all	hypothetical protein
omz_770m_5461_0	698	1	699	omz_770m_5461	936	-		all	hypothetical protein
omz_770m_5461_1	164	771	935	omz_770m_5461	936	+		all	hypothetical protein
omz_770m_5460_0	722	176	898	omz_770m_5460	898	-		all	hypothetical protein
omz_770m_5463_0	137	2	139	omz_770m_5463	900	+		all	hypothetical protein
omz_770m_5463_1	212	382	594	omz_770m_5463	900	-		all	hypothetical protein
omz_770m_5462_0	68	508	576	omz_770m_5462	576	-		all	hypothetical protein
omz_770m_5469_0	113	28	141	omz_770m_5469	532	-		all	hypothetical protein
omz_770m_5469_1	113	418	531	omz_770m_5469	532	-		all	hypothetical protein
omz_770m_5468_0	74	368	442	omz_770m_5468	444	-		all	hypothetical protein
omz_770m_3657_0	98	12	110	omz_770m_3657	1039	-		all	hypothetical protein
omz_770m_3657_1	512	327	839	omz_770m_3657	1039	-	1.11.1.15	"Candidatus Nitrospira defluvii" Spieck et al. 2006	putative thiol peroxidase (EC:1.11.1.-) K11065 peroxidase, atypical 2-Cys peroxiredoxin
omz_770m_3650_0	431	392	823	omz_770m_3650	1019	-		all	hypothetical protein
omz_770m_3651_0	86	3	89	omz_770m_3651	913	-		all	hypothetical protein
omz_770m_3651_1	254	184	438	omz_770m_3651	913	+		all	hypothetical protein
omz_770m_3651_2	278	515	793	omz_770m_3651	913	+		all	hypothetical protein
omz_770m_3651_3	170	742	912	omz_770m_3651	913	+		all	hypothetical protein
omz_770m_1502_0	149	2	151	omz_770m_1502	1019	-		all	hypothetical protein
omz_770m_1502_1	533	148	681	omz_770m_1502	1019	-		all	hypothetical protein
omz_770m_1502_2	185	832	1017	omz_770m_1502	1019	-		all	hypothetical protein
omz_770m_2704_0	839	3	842	omz_770m_2704	842	-		Bacteria	protein unknown function DUF1446
omz_770m_2707_0	350	488	838	omz_770m_2707	839	+	2.7.7.4	Bacteria	translation elongation factor, putative (EC:2.7.7.4)
omz_770m_8654_0	746	178	924	omz_770m_8654	924	-		all	hypothetical protein
omz_770m_7438_0	341	2	343	omz_770m_7438	841	-		all	hypothetical protein
omz_770m_7438_1	131	603	734	omz_770m_7438	841	+		all	hypothetical protein
omz_770m_2706_0	671	166	837	omz_770m_2706	853	+	6.1.1.21	Candidatus Nitrosopumilus maritimus SCM1	histidyl-tRNA synthetase (EC:6.1.1.21) K01892
omz_770m_7439_0	869	2	871	omz_770m_7439	873	+		all	hypothetical protein
omz_770m_2701_0	596	44	640	omz_770m_2701	893	-	2.3.3.13	Bacteria	putative alpha-isopropylmalate/homocitrate synthase family transferase (EC:2.3.3.13) K01649 2-isopropylmalate
omz_770m_2701_1	125	767	892	omz_770m_2701	893	-		all	hypothetical protein
omz_770m_2700_0	551	2	553	omz_770m_2700	946	-		all	hypothetical protein
omz_770m_2703_0	194	1	195	omz_770m_2703	834	+		all	hypothetical protein
omz_770m_2703_1	485	202	687	omz_770m_2703	834	-		all	hypothetical protein
omz_770m_2702_0	521	3	524	omz_770m_2702	838	+		all	hypothetical protein
omz_770m_2702_1	272	565	837	omz_770m_2702	838	+		all	hypothetical protein
omz_770m_10912_0	323	57	380	omz_770m_10912	1106	-	6.1.1.22	Bacillus/Clostridium group	asnC asparaginyl-tRNA synthetase (EC:6.1.1.22) K01893
omz_770m_10912_1	335	392	727	omz_770m_10912	1106	-		all	hypothetical protein
omz_770m_10913_0	725	19	744	omz_770m_10913	999	-		SAR324 cluster bacterium SCGC AAA001-C10	
omz_770m_10913_1	140	859	999	omz_770m_10913	999	-		all	hypothetical protein
omz_770m_10910_0	761	34	795	omz_770m_10910	1112	+	6.2.1.1	Proteobacteria	AAE7 AAE7 (ACYL-ACTIVATING ENZYME 7) AMP binding / acetate-CoA ligase (EC:6.2.1.1)
omz_770m_7430_0	101	2	103	omz_770m_7430	991	-		all	hypothetical protein
omz_770m_7430_1	227	283	510	omz_770m_7430	991	+		all	hypothetical protein
omz_770m_7430_2	143	847	990	omz_770m_7430	991	+		all	hypothetical protein
omz_770m_10911_0	269	204	473	omz_770m_10911	1071	+		SAR324 cluster	
omz_770m_10911_1	314	757	1071	omz_770m_10911	1071	+		all	hypothetical protein
omz_770m_7431_0	203	372	575	omz_770m_7431	929	-		all	hypothetical protein
omz_770m_10916_0	677	38	715	omz_770m_10916	988	-		all	hypothetical protein
omz_770m_7432_0	200	218	418	omz_770m_7432	1082	+		all	hypothetical protein
omz_770m_7432_1	197	443	640	omz_770m_7432	1082	+		all	hypothetical protein
omz_770m_7432_2	260	637	897	omz_770m_7432	1082	+		all	hypothetical protein
omz_770m_7432_3	62	1018	1080	omz_770m_7432	1082	+		all	hypothetical protein
